industry_code,summary_name,year,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_naics_with_import_weights,n_naics_in_concordance
111CA,Farms,2016.0,0.0,1.0,0.271906,1.0,1.0
111CA,Farms,2017.0,0.0,1.0,0.271906,1.0,1.0
111CA,Farms,2018.0,0.03333333333333333,1.0,0.271906,1.0,1.0
111CA,Farms,2019.0,0.19999999999999998,1.0,0.271906,1.0,1.0
111CA,Farms,2020.0,0.25,1.0,0.271906,1.0,1.0
111CA,Farms,2021.0,0.25,1.0,0.271906,1.0,1.0
111CA,Farms,2022.0,0.25,1.0,0.271906,1.0,1.0
111CA,Farms,2023.0,0.25,1.0,0.271906,1.0,1.0
111CA,Farms,2024.0,0.25,1.0,0.271906,1.0,1.0
111CA,Farms,2025.0,0.25,1.0,0.271906,1.0,1.0
311FT,Food and beverage and tobacco products,2016.0,0.0,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2017.0,0.0,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2018.0,0.046143519080230275,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2019.0,0.1504625317575914,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2020.0,0.19202812040710765,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2021.0,0.19202812040710765,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2022.0,0.19202812040710765,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2023.0,0.19202812040710765,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2024.0,0.19202812040710765,0.9893100013950632,851.423591,12.0,12.0
311FT,Food and beverage and tobacco products,2025.0,0.19202812040710765,0.9893100013950632,851.423591,12.0,12.0
322,Paper products,2016.0,0.0,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2017.0,0.0,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2018.0,0.04254466557157884,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2019.0,0.12901843745240682,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2020.0,0.16521834543979186,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2021.0,0.16521834543979186,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2022.0,0.16521834543979186,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2023.0,0.16521834543979186,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2024.0,0.16521834543979186,1.0,1274.5991410000001,2.0,2.0
322,Paper products,2025.0,0.16521834543979186,1.0,1274.5991410000001,2.0,2.0
324,Petroleum and coal products,2016.0,0.0,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2017.0,0.0,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2018.0,0.03333333333333333,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2019.0,0.2,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2020.0,0.25,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2021.0,0.25,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2022.0,0.25,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2023.0,0.25,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2024.0,0.25,1.0,6.9541509999999995,2.0,2.0
324,Petroleum and coal products,2025.0,0.25,1.0,6.9541509999999995,2.0,2.0
325,Chemical products,2016.0,0.0,0.34800130865755924,3384.6348639999997,4.0,4.0
325,Chemical products,2017.0,0.0,0.34800130865755924,3384.6348639999997,4.0,4.0
